step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
147	0x1.32d28c0000000p-3	0x1.a484fe0000000p+5	0x1.42609e0000000p+5	0x1.0de6f60000000p+5	0x1.c2dda60000000p+10
148	0x1.e5684a0000000p-4	0x1.121d320000000p+2	0x1.a79bd80000000p+1	0x1.5396a80000000p+1	0x1.c2dda80000000p+10
149	0x1.cd623e0000000p-4	0x1.2e57ce0000000p+2	0x1.b7b6fc0000000p+1	0x1.9ba5ce0000000p+1	0x1.c2dda80000000p+10
150	0x1.13825a0000000p-3	0x1.c1eb6a0000000p+4	0x1.3f8a080000000p+4	0x1.3c9aac0000000p+4	0x1.c2dda80000000p+10
151	0x1.6159b80000000p-4	0x1.98f2480000000p+1	0x1.24631e0000000p+1	0x1.1868580000000p+1	0x1.c2dda80000000p+10
152	0x1.d138e60000000p-4	0x1.38cf760000000p+4	0x1.c5722a0000000p+3	0x1.aeb4560000000p+3	0x1.c2dda80000000p+10
153	0x1.f7b5c60000000p-4	0x1.d021c80000000p+4	0x1.5cbb480000000p+4	0x1.3222540000000p+4	0x1.c2dda80000000p+10
154	0x1.5f7ffa0000000p-3	0x1.8055080000000p+5	0x1.1f35340000000p+5	0x1.fe89de0000000p+4	0x1.c2dda80000000p+10
155	0x1.a8727e0000000p-4	0x1.54fb720000000p+2	0x1.b2721a0000000p+1	0x1.045a960000000p+2	0x1.c2dda80000000p+10
156	0x1.1e3b2e0000000p-3	0x1.c196b60000000p+2	0x1.2a9f1e0000000p+2	0x1.4ea5260000000p+2	0x1.c2dda80000000p+10
157	0x1.1d85640000000p-2	0x1.901bcc0000000p+5	0x1.2f71220000000p+5	0x1.0451b40000000p+5	0x1.c2dda80000000p+10
158	0x1.ef1a740000000p-3	0x1.d365220000000p+7	0x1.627d780000000p+7	0x1.3092ec0000000p+7	0x1.c2dda80000000p+10
159	0x1.9c6e900000000p-3	0x1.d6237e0000000p+5	0x1.6c295e0000000p+5	0x1.29139a0000000p+5	0x1.c2dda80000000p+10
160	0x1.69f62e0000000p-3	0x1.1eadf60000000p+5	0x1.a618ae0000000p+4	0x1.83a97c0000000p+4	0x1.c2dda80000000p+10
161	0x1.e439e00000000p-4	0x1.aa785e0000000p+3	0x1.518f840000000p+3	0x1.04425c0000000p+3	0x1.c2ddaa0000000p+10
162	0x1.2e14360000000p-3	0x1.09aa100000000p+5	0x1.904fc20000000p+4	0x1.5d0ae20000000p+4	0x1.c2ddaa0000000p+10
163	0x1.352f360000000p-3	0x1.d160380000000p+5	0x1.5895400000000p+5	0x1.38b9300000000p+5	0x1.c2ddaa0000000p+10
164	0x1.04fa0a0000000p-3	0x1.574a800000000p+4	0x1.0096b20000000p+4	0x1.c774b60000000p+3	0x1.c2ddaa0000000p+10
165	0x1.5bb38c0000000p-3	0x1.5b5da20000000p+4	0x1.06d7c40000000p+4	0x1.c4b3060000000p+3	0x1.c2dda80000000p+10
166	0x1.fab1060000000p-4	0x1.3a25480000000p+6	0x1.d297540000000p+5	0x1.a4a5d00000000p+5	0x1.c2ddaa0000000p+10
167	0x1.5788460000000p-3	0x1.319a880000000p+4	0x1.cf49b40000000p+3	0x1.8db0ce0000000p+3	0x1.c2ddaa0000000p+10
168	0x1.436fd00000000p-3	0x1.5d12e00000000p+4	0x1.149d340000000p+4	0x1.a8fb4e0000000p+3	0x1.c2ddaa0000000p+10
169	0x1.73b79e0000000p-3	0x1.8ab0f00000000p+6	0x1.4029fa0000000p+6	0x1.cd72800000000p+5	0x1.c2ddaa0000000p+10
170	0x1.7646ee0000000p-4	0x1.abfcb20000000p+5	0x1.4239100000000p+5	0x1.199a5e0000000p+5	0x1.c2ddaa0000000p+10
171	0x1.94f6600000000p-4	0x1.877e7a0000000p+3	0x1.2859480000000p+3	0x1.fec24c0000000p+2	0x1.c2ddaa0000000p+10
172	0x1.f9d44e0000000p-4	0x1.061e6c0000000p+4	0x1.9414020000000p+3	0x1.4d037c0000000p+3	0x1.c2ddaa0000000p+10
